partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility
Google,Google Cybersecurity,"[Network Security,Python Programming,Linux,Cloud Computing,Algorithms,Audit,Computer Programming,Computer Security Incident Management,Cryptography,Databases,Leadership and Management,Network Architecture,Risk Management,SQL]",48,164000,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Google Data Analytics,"[Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software]",48,1334000,Beginner , Professional Certificate , 3 - 6 Months,true
Google,Google Project Management:,"[Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement]",48,973000,Beginner , Professional Certificate , 3 - 6 Months,true
Google,Google Digital Marketing & E-commerce,"[Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis]",48,214000,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Google IT Support,"[Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems]",48,1814000,Beginner , Professional Certificate , 3 - 6 Months,true
IBM,IBM Data Science,"[Python Programming, Data Science, Machine Learning, Data Analysis, Data Visualization, Algorithms, Human Learning, Statistical Programming, Decision Making, Machine Learning Algorithms, Statistical Machine Learning, Statistical Visualization, Computational Thinking, Computer Programming, Data Management, Data Mining, Database Design, Exploratory Data Analysis, Plot (Graphics), Applied Machine Learning, Customer Analysis, R Programming, Data Model, Database Application, Database Theory, Databases, Deep Learning, SQL, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Big Data, Cloud Computing, IBM Cloud, Writing]",46,1189000,Beginner , Professional Certificate , 3 - 6 Months,true
Google,Google UX Design,"[User Experience, User Experience Design, User Research, Audit, Collaboration, Human Computer Interaction, Planning, Product Design, Product Development, Social Media, Web Design, Web Development Tools]",48,737000,Beginner , Professional Certificate , 3 - 6 Months,true
IBM,IBM Data Analyst,"[Python Programming, Data Visualization, Microsoft Excel, Spreadsheet Software, Data Analysis, Statistical Visualization, Plot (Graphics), Statistical Programming, Databases, SQL, Data Management, Exploratory Data Analysis, Machine Learning, Business Analysis, Computational Thinking, Computer Programming, Database Application, Database Design, Database Theory, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression]",46,715000,Beginner , Professional Certificate , 3 - 6 Months,true
Multiple educators,Machine Learning,"[Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Statistical Machine Learning, Python Programming, Regression, Mathematics, Tensorflow, Critical Thinking, Network Model, Reinforcement Learning]",49,177000,Beginner , Specialization , 1 - 3 Months,false
IBM,Introduction to Data Science,"[Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computational Thinking, Computer Programming, Data Mining, Database Application, Database Design, Database Theory, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Deep Learning, IBM Cloud, Regression, Writing]",46,85000,Beginner , Specialization , 3 - 6 Months,true
