pregunta,respuesta
Cuales son los horarios de operacion de la plataforma?, La plataforma esta disponible las 24 horas del dia los 7 dias de la semana para que los estudiantes puedan acceder a los cursos en cualquier momento.
Donde puedo acceder a la plataforma de cursos?,Puedes acceder a la plataforma de cursos en linea a traves de nuestro sitio web en www.cursosonline.com. Solo necesitas una conexion a internet y un dispositivo compatible para ingresar. 
Necesito algun software especial para acceder a los cursos?,No. Solo necesitas un navegador web actualizado. Todos los cursos estan disennados para ser accesibles directamente desde tu navegador.
Cuales son los requisitos tecnicos para usar la plataforma?,Recomendamos utilizar un navegador actualizado como Chrome Firefox o Safari. Tambien necesitaras una conexion a internet estable y un dispositivo compatible (PC tablet o smartphone).
Cuales son las formas de pago aceptadas para inscribirse en un curso?,Aceptamos varias formas de pago incluyendo tarjetas de credito y debito (Visa MasterCard American Express) PayPal y transferencias bancarias. 
Hay algun descuento disponible para estudiantes o grupos?, Si. Ofrecemos descuentos especiales para estudiantes grupos y organizaciones. Para mas informacion sobre los descuentos disponibles. Por favor contacta a nuestro equipo de ventas en ventas@cursosonline.com. 
Puedo cancelar mi inscripcion y obtener un reembolso?, Si. Ofrecemos una politica de reembolso dentro de los primeros 14 dias despues de la inscripcion siempre y cuando no hayas completado mas del 10% del curso. Para solicitar un reembolso contacta a nuestro equipo de soporte en soporte@cursosonline.com.
Puedo ver una vista previa de los cursos antes de inscribirme?,Si. Muchos de nuestros cursos ofrecen una vista previa gratuita de las lecciones iniciales para que puedas tener una idea del contenido antes de inscribirte.
Como me inscribo en un curso?,Para inscribirte en un curso simplemente haz clic en el boton 'Inscribirse' en la pagina del curso. Luego sigue las instrucciones para crear una cuenta o iniciar sesion y completa el proceso de inscripcion.
Como se estructuran los cursos?,Los cursos estan estructurados en modulos o unidades donde cada uno cubre un tema especifico. Al final de cada modulo generalmente hay una evaluacion para medir tu comprension del material.
Quienes son los instructores de los cursos?,Nuestros cursos son impartidos por expertos en la materia incluyendo profesores universitarios profesionales de la industria y reconocidos especialistas. 
Como se evalua mi progreso en el curso?,Tu progreso se evalua a traves de cuestionarios tareas y examenes. Algunos cursos tambien incluyen proyectos practicos y presentaciones.
Que sucede si no paso una evaluacion?,Si no pasas una evaluacion generalmente tienes la oportunidad de volver a intentarla. Consulta las politicas especeficas de cada curso para mas detalles. 
Como obtengo mi certificado de finalizacion?,Una vez que completes todos los modulos y apruebes las evaluaciones podras descargar tu certificado de finalizacion desde la pagina del curso.
Que hago si tengo problemas para acceder a mi cuenta?,Si tienes problemas para acceder a tu cuenta intenta restablecer tu contrasenna. Si el problema persiste contacta a nuestro equipo de soporte en soporte@cursosonline.com.
Como puedo actualizar mi informacion personal en la plataforma?,Puedes actualizar tu informacion personal accediendo a tu perfil y seleccionando la opcion 'Editar perfil'. Asegurate de guardar los cambios antes de salir.
Que debo hacer si encuentro un error en el contenido del curso?,Si encuentras un error en el contenido del curso por favor informa al instructor a traves del foro de discusion o envia un correo a soporte@cursosonline.com para que podamos corregirlo lo antes posible.
Que hago si tengo problemas tecnicos durante un curso?,Si encuentras algun problema tecnico puedes contactar a nuestro equipo de soporte tecnico a traves del chat en vivo disponible en la plataforma o enviar un correo electronico a soporte@cursosonline.com.
Hay algun costo asociado con el soporte tecnico?,No. El soporte tecnico es gratuito para todos los usuarios registrados en la plataforma.
